CompanyName,JobDesc
University of New South Wales,"['Fixed Term – 12 months\n$68,152 - 84,116 plus 9.5% Super\nOne of Australia’s leading research  teaching universities\n', '\nRelevant qualifications or an equivalent level of knowledge gained through any other combination of education, training and/or experience.\nExcellent computing skills including spread sheets, data bases, SQL and a demonstrated ability to learn new systems and ways of working.\nAn understanding of Data and Information Governance, Business Intelligence, Data Warehousing and Data Quality concepts.\nDemonstrated ability to problem solve and apply analytical skills.\nCapacity to work in small cross disciplinary teams and independently.\nAbility to deal with multiple deadlines and changing requirements.\nGood verbal and written communication skills.\n']"
News Corp Australia,"['\nDevelop well architected  tested code that support the business requirements\nBe the Subject Matter Expert for Big Data Platform(s)\nMentor Data Engineers on good engineering practices and coding standards\nRecommend technologies to use to take advantage of development capabilities for new and existing projects', '\nProven career history in data science  engineering\nDevelopment in Python, Scala / Java\nExtensive experience using and maintaining AWS environments\nExperience leading a team of engineers\nCan identify tasks which require automation and automate them\nCode reviews and automated testing are part of your DNA\nStrong experience in SQL and NOSQL databases\nExperience in version control systems (GIT)\nExperience with Spark and/or clustered technologies\nExperience with Airflow or similar scheduler and monitor workflow tools.', '\nCollaborative environment\nOpportunity to innovate, challenge the norm and pioneer the way forward\nVariety of work where no two days are the same\nExposure to global operations and networks\nMake a difference as part of Australia’s most influential media organisation']"
News Corp Australia,"['\nDeliver out of the box Marketing Cloud functionality\nDesign and develop Marketing Cloud integrations using frameworks\nImplement and maintain custom solutions within the Marketing Cloud space', '\nMinimum of 3 years Administration and Development experience within a Salesforce Marketing Cloud environment\nExpert in user configuration and permissions\nExpert in Salesforce Marketing Cloud updates - Understanding changes within Seasonal (or otherwise) updates, and able to determine when critical updates should be applied\nAbility to provide “best practice” advice to business stakeholders\nAbility to perform “point and click” development\nAbility to address user issues logged within our Incident Management Tooling\nAbility to adhere to Change Management Practices (ie: Service Now)\nStrong knowledge of amp scripting, SQL, text and HTML emails, landing pages, SMS and MMS messages, and push notifications from MobilePush.\nStrong knowledge of the business analysis and the ability to consult and capture business requirements', '\nCollaborative environment\nOpportunity to innovate, challenge the norm and pioneer the way forward\nVariety of work where no two days are the same\nOn-site gym and wellbeing centre\nCareer progression and development']"
University of New South Wales,"['Fixed Term – 12 months\n$68,152 - 84,116 plus 9.5% Super\nOne of Australia’s leading research  teaching universities\n', '\nRelevant qualifications or an equivalent level of knowledge gained through any other combination of education, training and/or experience.\nExcellent computing skills including spread sheets, data bases, SQL and a demonstrated ability to learn new systems and ways of working.\nAn understanding of Data and Information Governance, Business Intelligence, Data Warehousing and Data Quality concepts.\nDemonstrated ability to problem solve and apply analytical skills.\nCapacity to work in small cross disciplinary teams and independently.\nAbility to deal with multiple deadlines and changing requirements.\nGood verbal and written communication skills.\n']"
Harvey Norman,"['\nMonitor and review current and past results and map trends to identify areas of improvement\nMonitor and report on the performance of promotional products\nAnalyse competitors promotions and their effect on trends\nReview and improve current reporting methods and procedures\nProvide valuable data insights to shape the future direction of the business\nDefine improvement opportunities and value add initiatives\nEngage with internal and external stakeholders on results and trends\n', '\nExperience analysing data and trends\nExperience monitoring and reporting on sales\nExcellent interpersonal, verbal and written communication skills\nAbility to drive initiatives and influence stakeholders\nExcellent organisation and time management skills\nStrong computer skills particularly in Microsoft Excel\nAbility to prioritise workload and meet deadlines\nExperience in a retail environment is advantageous\n', '\nExperience working within a diverse, unique and successful Company that is constantly evolving and innovating\nA real opportunity to own and drive initiatives that make an impactful change to the business\nA friendly, dynamic and supportive team environment that fosters growth and development.\n']"
REA Group,"['Fast-paced team focused on innovation and lateral thinking\nCommitment to closing the gender gap\nFlexible work environment\n', 'Extract, manipulate and process data from multiple sources and assemble datasets\nGain a solid understanding of our models and data assets to play a key role in statistical and ML model build and improvements using a range of modelling techniques\nBuild data pipelines, troubleshoot data and script issues and proactively analyse the model building processes to identify and recommend improvements\nPerform thorough testing and validation of models to confirm accuracy of data transformations used and robustness of predictive models\nDocument the projects and processes and assist with report preparation\nPromote technical communication between Data Science, Database and Engineering teams\nPlay a key role in deployment of new analytical tools and data platforms\nProvides support to client analytics work, and contributes to the production of analytics results packs in each assignment\nTranslate complex business requirements and objectives into technical briefing.\nCommunicate learnings in an accessible manner to different types of audiences.\n', 'Bachelor’s or Master’s degree in a technical or science discipline (such as Applied Mathematics or Statistics, Economics, Engineering, Computer Science, or similar)\n4+ years of experience in Data Analyst/Data Scientist roles within analytics domain working with large and complex datasets\nAdvanced SQL scripting skills (T-SQL, MS SQL, BigQuery) and experience with structured and unstructured data in a variety of formats\nExperience with building and deploying statistical and ML models in the commercial environment\nGood working knowledge of statistical programming languages, mainly R, Python (exposure to Matlab is well regarded)\nExpertise in a range of commonly used data modelling techniques and their trade-offs\nExperience with reporting automation (using Tableau) or a demonstrated willingness to build these skills\nStrong attention to detail\nTeam-player with excellent communication skills open to new challenges\nPassion for leveraging data to generate value\n', 'Onsite health and wellbeing programs, including yoga and meditation classes, and weekly massages\nBecause We Care program which includes volunteer leave and community grants, to ensure you have the opportunity to give back to your community\nHack Days so you can bring your big ideas to life\nAn additional day of leave just for your birthday\nA flexible working environment meaning we strike the balance of what you need and what works for the business (and yes, our leaders fully understand the flexible working policy)\nIndustry leading gender-neutral parental leave\n']"
Dimensional Fund Advisors,"['Perform regular and ad hoc data validation of security reference and financial statement data, ensure data accuracy, and oversee various data reporting tools and processes.\nPartner with various internal departments to answer performance and reporting questions, assist with ad hoc requests, and collaborate within a global team to identify solutions to any issue.\nCreate, understand and interpret returns, characteristics, and attributions for portfolios and indices.\nContribute to ongoing efficiency efforts to improve processes and tools.\nComplete projects involving the collection, validation, analysis and presentation of data.\n', 'Bachelors’ degree in a related field (i.e. Finance, Economics, Accounting, STEM academic disciplines or similar).\nProfessional industry experience (including internship/s) in an analytical capacity will be highly thought of.\nProficient communication skills, both written and verbal, with the ability to build lasting relationships with stakeholders.\nPassion for finding solutions to complex analytical problems with keen attention to detail.\nAbility to partner with peers as part of a collaborative team on various projects and successfully meet deadlines.\nStrong computer skills (in particular, Excel), with the ability to learn additional programs.\nA genuine interest in programming; coding experience will be viewed favourably (SQL, VBA, C#, etc.).\n']"
Veeva Systems,"['\nManage OpenData Delivery projects from conception to completion within scope and on time.\nManage customer relationships, provide primary support to the customer during project implementation, post-implementation support and maintenance, acting as a subject matter expert of Veeva OpenData Delivery offering.\nDesign, develop and test CRM and MDM integration solutions as well as successful deployment to ensure project success.\nImplement automated data collection and validation processes\nAnalyze and perform data matching, cleansing, validation and load on incoming customer data by using/developing ETL processes for automated workflows.\nCreate project documentation and create functional specifications for internal/external stakeholders.\nCreate project status reports and provide updates to key stakeholders\nProvide day to day Veeva OpenData support to both internal and external customers', '\nDegree qualified in Computer Science or Business IT or Information Systems\nAt least 3 years in CRM development and implementation, SaaS Salesforce experience preferred\nGood communication skills\nGood English skills\nAbility to work with customers and team members based in different regions and time zones\nHighly organized, advanced planning and analytical skills.\nAbility to perform in high demand matrix team-based environment\nExtensive experience working with relational databases and the SQL language i.e. MS SQL Server, MySQL, PostgreSQL, and Analytical/Database Tools\nProficiency in analysis query language like PowerQuery or DAX, and reporting tools such as Tableau.\nProficiency in a scripting language (Python, R, Perl, Ruby, etc.)\nExperience and understanding of ETL concepts\nProficiency working with data to identify trends and anomalies.\nExperience in project management\nAbility to self-manage multiple simultaneous projects', '\nUnderstanding of Master Data Management and systems.\nExperience with medical and life sciences related industries referred\nKnowledge of medical terminology and data quality and compliance standards within the life sciences industry\nExperience with Veeva CRM and/or Veeva Network', '\nCoffee, fresh fruits and snacks']"
Veeva Systems,"['\nSupport OpenData Delivery projects from conception to completion within scope and on time.\nAssist with the management of customer relationships, provide secondary support to the customer during project implementation, post-implementation support and maintenance, acting as a subject matter expert of Veeva OpenData Delivery offering.\nDesign, develop and test CRM and MDM integration solutions as well as successful deployment to ensure project success.\nImplement automated data collection and validation processes\nAnalyse and perform data matching, cleansing, validation and load on incoming customer data by using/developing ETL processes for automated workflows.\nCreate project documentation and create functional specifications for internal/external stakeholders.\nCreate project status reports and provide updates to key stakeholders\nProvide day to day Veeva OpenData support to both internal and external customers', '\nDegree qualified in Computer Science or Business IT or Information Systems\nAt least 1 years in CRM development and implementation, SaaS Salesforce experience preferred\nGood communication skills\nGood English skills\nAbility to work with customers and team members based in different regions and time zones\nHighly organized, advanced planning and analytical skills.\nAbility to perform in high demand matrix team-based environment\nExtensive experience working with relational databases and the SQL language i.e. MS SQL Server, MySQL, PostgreSQL, and Analytical/Database Tools\nExperience in analysis query language like PowerQuery or DAX, and reporting tools such as Tableau.\nExperience in a scripting language (Python, R, Perl, Ruby, etc.)\nExperience and understanding of ETL concepts\nProficiency working with data to identify trends and anomalies.\nExperience in project management\nAbility to self-manage multiple simultaneous projects', '\nUnderstanding of Master Data Management and systems.\nExperience with medical and life sciences related industries referred\nKnowledge of medical terminology and data quality and compliance standards within the life sciences industry\nExperience with Veeva CRM and/or Veeva Network', '\nCoffee, fresh fruits and snacks']"
Cognizant Technology Solutions,"['Experience in data profiling, performance tuning in MS SQL Server, OracleExperience in data profiling, performance tuning in MS SQL Server, OracleExperience on cloud platform Microsoft Azure CloudKnowledge of RDBMS like MS SQL Server, Oracle', 'Senior data modeler with Hands-on experience on Erwin data modeling toolData warehouse concepts like relational modeling, normalization, sub-types, super-types, dimensional modeling, EDW, change data capture etc.Knowledge of RDBMS like MS SQL Server, OracleExperience in data profiling, performance tuning in MS SQL Server, OracleExperience on cloud platform Microsoft Azure CloudDevelop the logical data model based on the understanding of the conceptual model and conduct data profiling with the objective of delivering high quality data models and high quality of data within the limits of standards defined by Cognizant, client and industry.Associate should be able to work with different horizontals within customer and Client, elicit the requirements, prepare the Logical  Physical Data Model, Prepare the Source to Target Mapping for the data Model, Designating relationships between data fields, layout the blue print for a design, which will be physically built on the system.Organize the integration of data and migration activities to enhance efficiency.', 'Data Modeler: 5 years (Preferred)', 'The candidate can work permanently with no restriction on hours (Preferred)']"
News Corp Australia,"['\nDevelop well architected  tested code that support the business requirements\nBe the Subject Matter Expert for Big Data Platform(s)\nMentor Data Engineers on good engineering practices and coding standards\nRecommend technologies to use to take advantage of development capabilities for new and existing projects', '\nProven career history in data science  engineering\nDevelopment in Python, Scala / Java\nExtensive experience using and maintaining AWS environments\nExperience leading a team of engineers\nCan identify tasks which require automation and automate them\nCode reviews and automated testing are part of your DNA\nStrong experience in SQL and NOSQL databases\nExperience in version control systems (GIT)\nExperience with Spark and/or clustered technologies\nExperience with Airflow or similar scheduler and monitor workflow tools.', '\nCollaborative environment\nOpportunity to innovate, challenge the norm and pioneer the way forward\nVariety of work where no two days are the same\nExposure to global operations and networks\nMake a difference as part of Australia’s most influential media organisation']"
IBM,"['\nProvide technical support assistance to customers using problem determination/problem source identification skills.\nUtilise technical and negotiation skills in collaboration with other support operations/organizations to prioritize and diagnose problems to resolution.\nCommunicate action plans to the customer or IBM representative as appropriate.\nRecommend and implement new or improvements to existing technical support tools, procedures, and processes.\nContribute to department attainment of organizational objectives and high customer satisfaction.\n', 'Proficient in Windows desktop and Windows Server operating systems.\nProficient in technical writing; public facing knowledge articles; technical forum contributionsBasic knowledge of UNIX operating systems: AIX and RHEL (Linux)Knowledge of database architectures (ie: tables; triggers; sequences; schema; etc)Knowledge of supported Internet Browsers: Internet Explorer, Mozilla Firefox, Apple SafariKnowledge of debugging Internet Browsers using tools such as FireBugKnowledge of WebSphere, IBM HTTP Server (IHS), and other application servers.\nKnowledge of PL/SQLExperience reading J2EE stack tracesKnowledge and understanding of networking principles', 'Ability to fluently speak Japanese and EnglishKnowledge of DB2 and Oracle databases,Knowledge of SSL, SMTP\nKnowledge of Virtualization: vSphere, ESX Server, Windows Terminal ServicesKnowledge in javascript frameworks such as Dojo and JQueryKnowledge in other framework such MEAN: MongoDB, Express.js, React, Node.jsKnowledge in 3rd party authentication: SiteMinder, SPENGO, SAML, and LDAPKnowledge in report writing and/or reporting framework modeling with leading BI tools (i.e.: Cognos Report Studio)Knowledge in REST methodsKnowledge in Docker or Urban Code DeploymentKnowledge in AnsibleKnowledge in JenkinsUnderstanding in reading, implementing, and debugging software APIs']"
QBE,"['Manage the analysis workflow - extract data from underwriting systems, maintain cat modelling databases, provide analysis results and guidance to internal customers\nProduce customised reports on exposure and modelled results\nAnalyse catastrophe reinsurance structures and strategies to support reinsurance placements\nContinually review processes and data quality, establish initiatives to deliver improvements\nProvide timely information and estimates of potential claims during catastrophe events\nEvaluate insurance pricing for individual accounts and product classes\nContribute to Group projects as required, liaising with other divisions\n', ""a number of years' experience in a catastrophe modelling or analytical role\nDegree level education in mathematical or scientific subject\nInsurance industry experience highly regarded\nPreviously worked with large sets of data with an eye for detail\nProperty insurance knowledge will be highly regarded\nBasic understanding of regulatory environment in Australia  New Zealand\nExcellent analytical, interpersonal, communication and organizational skills\nDatabase software including MS Access, SQL or SAS\nCatastrophe modelling software eg. RMS or AIR, preferred\n"", 'Paid Parental leave (inclusive of paid superannuation during this time)\nSecondment opportunities\nEmployee assistance programme\nPaid volunteer leave\nPurchased leave\nProduct discounts\nSuperannuation matching\n']"
IBM,"['\nBased in St Leonards\nPermanent Position Rotating Roster', '\n24/7 monitoring and support of IDS, IPS, SIEM/SELM and Antivirus infrastructure across various IBM customers.\nInitial detection, analysis, and investigation of security events to determine likelihood of compromise and respond according to processes\nSingle point of contact for newly observed threats and events of interest\nEnforcement of customer security policies regarding the use and configuration of company assets\nRespond to security requests and action accordingly\nMonitor security infrastructure health and respond per process\nAnalysis of security event data and providing recommendations for policy modifications/tuning\nDevelop, implement and maintain processes and procedures as required\nStay abreast of current and upcoming security threats\nTrain and/or mentor other team members', ""\nBachelor's Degree in Information Technology\nGood knowledge and understanding of networking\nMeet at least two of the following:\nAt least 2 years of experience in Network Support\nAt least 2 years of experience in Firewall/VPN\nAt least 2 years of experience in Intrusion Detection/Prevention\nAt least 2 years of experience in SIEM\nAt least 3 years of experience in Operating System Skills\nExperience on SIEM vendor products – IBM Qradar, Splunk, ArcSight etc\nExperience using one or more IDPS vendors and products – IBM Proventia, Juniper IDP, Checkpoint IPS, Sourcefire, tipping Point etc\nExposure to one or more leading Anti-Malware products\nStrong verbal and written communication skills\nProactive and independent mindset as well as a willingness to share knowledge\nKnowledge of HTML, JAVA, regular expressions, SQL queries highly regarded\nOperating Systems skills and experience highly regarded\nAny skills in OT security highly regarded\nHighly regarded certifications: CEH, GISF, GSIP, GCIA, GSEC and CISSP"", 'Please see above']"
Commonwealth Bank,"['Sydney Location\nPermanent Opportunity\n', 'Champion the customer in discussions and business decisions\nEmploy a range of Cx methodologies to achieve appropriate and impactful outcomes for our customers, staff, and internal stakeholders\nSeek out and collate a wide range of data points from various sources to form a fact base for a problem space\nContinually seek new innovative ideas and Cx methods to employ within the team\nFacilitate workshops and co-creation sessions\nWork collaboratively with stakeholders across the business and private bank to effectively understand a problem space\nDocument and socialise CX outputs\nQuantify the impacts and benefits of customer experience initiatives\nBuild strong networks and collaborative teams with key stakeholder groups\nDiagnose issues through the collection and synthesis of multiple data sources\nAssist with Cx Measurement to quantify impact following implementation of Cx recommendations\nContribute to Cx skills uplift across BPB through development and delivery of Cx education sessions\n', 'Natural empathy and genuine passion for improving customer outcomes\nStrong analytical and documentation skills with high attention to detail\nInitiative-taking and ability to work effectively at multiple levels in the organisation\nInherent collaborator with strong relationship building and stakeholder management skills\nAbility to work effectively in unstructured environments with high levels of ambiguity\nExcellent communication, presentation as well as strong influencing and collaboration skills\nAbility to work efficiently under time pressure and deliver results and outcomes\n2+ years’ experience in a customer facing, sales, or customer experience orientated role e.g. customer support, marketing, customer analytics, CR\n']"
Atlassian,"['3+ years of experience in support, software services, and/or system administration for a large end-user community\nDeep understanding of operating systems (e.g. Linux, OS X, and/or Windows)\nDeep understanding of networks and relevant technologies, including proxies, load balancers, LDAP, Active Directory, SSL, etc.\nUnderstanding of application server technologies (e.g. Tomcat, Apache, WebSphere, JBoss, etc.)\nExperience with SQL databases']"
Dentsu Aegis Network,[]
University of New South Wales,"['Fixed Term – 12 months\n$68,152 - 84,116 plus 9.5% Super\nOne of Australia’s leading research  teaching universities\n', '\nRelevant qualifications or an equivalent level of knowledge gained through any other combination of education, training and/or experience.\nExcellent computing skills including spread sheets, data bases, SQL and a demonstrated ability to learn new systems and ways of working.\nAn understanding of Data and Information Governance, Business Intelligence, Data Warehousing and Data Quality concepts.\nDemonstrated ability to problem solve and apply analytical skills.\nCapacity to work in small cross disciplinary teams and independently.\nAbility to deal with multiple deadlines and changing requirements.\nGood verbal and written communication skills.\n']"
Allianz,"['\nProvide regular analysis on Allianz customers. Develop data visualization of customer experiences, trends and behaviours.\nPartner with the business to identify and pursue opportunities based on available data and insights, interrogating data in detail whilst also maintaining sight of the broader strategic goals of the business.\nProficiency using software such as SQL, SAS to access, transform, integrate and analyse customer data from across the enterprise.\nMake recommendations regarding how customer insights can be translated into specific customer campaigns, offers and experiences.\nSupport and contribute to key analytics projects, including engaging with stakeholders to define and agree the project scope, milestones and deliverables.\nContribute to the ongoing communication of progress for projects and key findings upwards and sidewards within the enterprise.\nUnderstand the different product constructs and how these generate revenue, costs and profit and how this is represented in the systems, data and business processes.\n', '\nSAS or similar query  statistical analysis language (e.g. SAS, R, Python)\nDegree qualification in a STEM discipline preferred (e.g. maths, computer science, engineering, data science, statistics)\nMicrostrategy or other data visualisation software\nExperience working in previous roles with a high degree of complex data analysis and translation of data analysis into insights\nA Marketing Tertiary qualification would be highly regarded.\n']"
AMP Limited,"['\nAcquire data from a number of different sources (Flat File/Oracle/SQL Server/MS Access/Cloud)\nInterpret data, analyse results using various techniques and provide ongoing reports and data extracts\nDevelop strategies that help improve data quality and business operating efficiency\nIdentify, analyse, and interpret trends or patterns in complex data sets\nWork closely with management to prioritise business and information needs, helping the project to prioritise delivery activity\nLocate and define new process improvement opportunities in the sourcing, management and maintenance of enterprise data\n', '\nStrong analytical skills with the ability to collect, organise, analyse and disseminate significant amounts of information with attention to detail and accuracy\nKnowledge and experience using various database solutions for analysing large datasets an advantage (Oracle, SQL Server, Excel, MS Access)\nPrograming in our current ETL tool (DCS) and assisting with VBA development\nAdept at queries, report writing and presenting findings\nProven ability to work proactively with a use of initiative and early escalation of issues\n']"
Dimensional Fund Advisors,"['Perform regular and ad hoc data validation of security reference and financial statement data, ensure data accuracy, and oversee various data reporting tools and processes.\nPartner with various internal departments to answer performance and reporting questions, assist with ad hoc requests, and collaborate within a global team to identify solutions to any issue.\nCreate, understand and interpret returns, characteristics, and attributions for portfolios and indices.\nContribute to ongoing efficiency efforts to improve processes and tools.\nComplete projects involving the collection, validation, analysis and presentation of data.\n', 'Bachelors’ degree in a related field (i.e. Finance, Economics, Accounting, STEM academic disciplines or similar).\nProfessional industry experience (including internship/s) in an analytical capacity will be highly thought of.\nProficient communication skills, both written and verbal, with the ability to build lasting relationships with stakeholders.\nPassion for finding solutions to complex analytical problems with keen attention to detail.\nAbility to partner with peers as part of a collaborative team on various projects and successfully meet deadlines.\nStrong computer skills (in particular, Excel), with the ability to learn additional programs.\nA genuine interest in programming; coding experience will be viewed favourably (SQL, VBA, C#, etc.).\n']"
Cognizant Technology Solutions,"['Experience in data profiling, performance tuning in MS SQL Server, OracleExperience in data profiling, performance tuning in MS SQL Server, OracleExperience on cloud platform Microsoft Azure CloudKnowledge of RDBMS like MS SQL Server, Oracle', 'Senior data modeler with Hands-on experience on Erwin data modeling toolData warehouse concepts like relational modeling, normalization, sub-types, super-types, dimensional modeling, EDW, change data capture etc.Knowledge of RDBMS like MS SQL Server, OracleExperience in data profiling, performance tuning in MS SQL Server, OracleExperience on cloud platform Microsoft Azure CloudDevelop the logical data model based on the understanding of the conceptual model and conduct data profiling with the objective of delivering high quality data models and high quality of data within the limits of standards defined by Cognizant, client and industry.Associate should be able to work with different horizontals within customer and Client, elicit the requirements, prepare the Logical  Physical Data Model, Prepare the Source to Target Mapping for the data Model, Designating relationships between data fields, layout the blue print for a design, which will be physically built on the system.Organize the integration of data and migration activities to enhance efficiency.', 'Data Modeler: 5 years (Preferred)', 'The candidate can work permanently with no restriction on hours (Preferred)']"
Genworth,"['\nTranslate business requirements into clear and measurable outcomes\nProvide detailed analysis and advice for business solutions, systems and process change across the business using relevant data\nAssist in the remediation of data quality issues and identifying policy, system and procedural improvements\nSupporting the maintenance of the appropriate data and information across the portfolio\nSupport the creation of business analysis and presenting insights to key stakeholders (including Senior Leadership Team, Customer and Regulator)\nHelp running effective scrums using AGILE framework\nOrganising and facilitating workshops to identify, analyse, interpret and document business functional and non-functional requirements using established methodologies\nWorking with project sponsors, owners and stakeholders to develop robust and quality concept papers and business cases, with the inclusion of cost and benefits analysis\nCommunicating progress and status using standard tools, templates and practices\nEnhancing business analysis capabilities across the business through mentoring, training and enhancing templates, tools and processes\nSupport the Business Intelligence Manager and senior business analyst in ensuring all system problems and risk issues are communicated to the relevant parties and that permanent solutions are identified and executed\nSupport the Business Intelligence Manager to influence, collaborate and build consensus with stakeholders to arrive at decisions', '\nAt least 2-3 years’ experience in the financial services, preferably banking and finance, with strong understanding of integrations between traditional backend systems and digital touchpoints\nMinimum of a Bachelor’s degree (Business, Statistics or IT preferred)\nDemonstrated knowledge of technology design processes, reporting and analytics, including technology architecture mapping\nProficient in MS Office, including Excel, Word, PowerPoint, Tableau, Visio and Project\nStrong interpersonal skills with proven ability to collaborate and influence internally / external customers\nDemonstrable awareness of risk management and control\nHighly numerate / data literate with strong analytical / problem-solving skills\nExperience in working in a high-paced, customer focussed environment\nAbility to manage multiple priorities, whilst delivering quality outcomes to deadline\nConsistently demonstrate a positive, enthusiastic attitude, and take the initiative to overcome obstacles\nAttention to detail and the ability to work independently with minimal supervision while being part of a high performing team\nExcellent interpersonal and communication skills with proven ability to effectively communicate with stakeholders and colleagues at various levels of seniority\nExcellent organisational and analytical skills, balanced with the ability to be practical and find solutions\nStrong written communication skills with the ability to communicate clearly and concisely\nSelf-confidence, with the ability to both facilitate workshops and present materials']"
University of New South Wales,"['Fixed Term – 12 months\n$68,152 - 84,116 plus 9.5% Super\nOne of Australia’s leading research  teaching universities\n', '\nRelevant qualifications or an equivalent level of knowledge gained through any other combination of education, training and/or experience.\nExcellent computing skills including spread sheets, data bases, SQL and a demonstrated ability to learn new systems and ways of working.\nAn understanding of Data and Information Governance, Business Intelligence, Data Warehousing and Data Quality concepts.\nDemonstrated ability to problem solve and apply analytical skills.\nCapacity to work in small cross disciplinary teams and independently.\nAbility to deal with multiple deadlines and changing requirements.\nGood verbal and written communication skills.\n']"
AWS Australia Pty Ltd,"['Proven track record in overseeing large-scale database architecture, implementation, upgrade or migration projectsWorld-class database technical background.Demonstrable experience in influencing senior stakeholders and CxO in large enterprises and partnersExperience and deep knowledge of commercial databases such as Oracle, Micorosft SQL, as well as familiarity with AWS database solutions such as Kinesis, Redshift, Aurora, DynamoDB, and LambdaExperience and deep knowledge of database administrationExperience in database sizing, backup and recoveryGood understanding of infrastructure building blocks (e.g. storage, network, virtualization, authentication etc.)Experience with database scriptingExperience working with enterprise architectures and IT service management frameworksTechnical degree required; Computer Science or Math background highly desiredStrong verbal and written communications skills are a must, as well as the ability to work effectively across internal and external organizations.', 'Serve as a key member of the Solutions Architecture team in helping to ensure customer success in delivering database services on the AWS platform.Scope each customer engagement, with attention towards clear and well-defined objectives and success criteria.Own each engagement, and oversee the timely and successful delivery of value by internal and external partiesContribute to and lead teams that may span different functions. Plan and develop database migration architectures with the ANZ Migration Growth Team to assist customers and partners with database modernization.Architect database solutions for simplicity, scale, resiliency, operations and innovationCoach customers and partners on database-related solutions and servicesDevelop, capture, and share best-practices within the solution architect communityExploit salesforce.com and other internal Amazon systems.', 'A diverse work experience that may include enterprises, consulting providers, technology vendors and/or startupsOriginal thought leadership e.g. blogs, patents, whitepapers, conference papersPost-graduate degree or executive educationExperience in effective communication with senior stakeholdersMaster Technology Architect certification or equivalentAWS Certification e.g. AWS Solutions Architect Associate']"
Telstra Health,"['\nWork with stakeholders to elicit, document, organise and prioritise business requirements\nConduct the necessary testing and systems analysis.\nAnalyse information needs and functional requirements and deliver functional requirements, Business Requirements Documents, Use Cases, Screen and Interface designs\nEnsure all relevant key stakeholders are informed of the progress of project implementation and manage client expectations\nWork with project teams to ensure the successful and timely delivery of the project', '\nWorking for the largest Australian-based provider of software for healthcare providers and funders\nBeing part of a digital health organisation on an accelerated growth path\nDeveloping strong relationships with internal and external stakeholders']"
Tech Mahindra,"['Minimum 3+years of Strong Development experience in PL SQL, Oracle Forms.Strong experience profiling data, including data discovery, cleansing, and analysis.Expertise in Create complex functions, scripts, stored procedures and triggers to support application developmentStrong experience with reporting solutions, SQL Databases, and data preparation tools.Experience in database design, implementation, troubleshooting and maintenance.Experience with improving performance on enterprise applications with large data.Troubleshooting and providing solutions for any bugs in new database applicationsClear understanding of business procedures and ability to work as an individual and as a part of a team.Experience designing logical and physical data model.Ability to prioritize and be a self-starter to provide deliverables within expected timeframe.Stays current with industry changes to software development practices and languages.Effectively communicate and build rapport with team members, business stake holders, and clients using various techniques and collaboration channels.']"
Commonwealth Bank,"['You will successfully undertake analytical deep dives on current portfolio performance, generating insights and identifying opportunities to improve our collections strategies\nYou will enable strategy development, monitoring and reporting and provide expert risk advice to internal stakeholders\nThrough hypothesis led analytics you will understand and assess risk strategy performance, identify opportunities to improve our collection and customer contact strategies and formulate enhancement initiatives\n', 'You can demonstrate experience in using data manipulation and statistical analysis tools (e.g. SAS, SQL, Tableau) to convert large data sets into easily consumable and insightful reports and business recommendations\nYou are comfortable using data to derive, justify and implement hypothesis driven strategy optimisation\nYou are confident formulating and communicating ideas to senior management\nYou are proficient in SAS / SQL and Excel\nYou have demonstrable experience working with large data sets, and understanding interactions between relevant data\nYou have an understanding of or a desire to understand how credit risk strategies can drive profit generation.\n']"
Dentsu Aegis Network,"['Knowledge of the media buying / programmatic advertising landscape\nKnowledge of / experience with marketing technology\nHands on data analysis and forecasting\nStrategy development (data, analytics)\nPresenting  influencing skills\nEffective stakeholder management\nFunctional knowledge of marketing analytics concepts such as Digital attribution, Marketing Mix Modelling\nFamiliarity with data visualisation platforms (preferably Datorama)\n', 'Oversee regular analytics program  deliverables for core client\nOversee regular analytics program  deliverables\nExecue regular analytics program and deliverables\nForecasting  strategic recommendations\nManage the quality of client dashboards\n', 'Oversee regular analytics program  deliverables\nExecue regular analytics program and deliverables\nForecasting  strategic recommendations\nManage the quality of client dashboards\n', 'Support data strategy  other advisory / data consulting services to clients\nWork closely with a broader team of DR media professionals to ensure client campaign KPIs are achieved\n', 'Demonstrated data analysis and forecasting experience\nStrategy development (data, analytics)\nPresenting  influencing skills\nEffective stakeholder management\nFunctional knowledge of analytics techniques such as Digital attribution, Marketing Mix Modelling\nFamiliarity with data visualisation platforms (preferably Datorama, Tableau)\nKnowledge and experience within the Australian media landscape\nMedia buying and programmatic advertising knowledge\nCurrent marketing technology / advertising technology trends\n', 'You are relentlessly positive and / or have a growth mindset\nYou simplify the complex – not the other way around\nYou want to be part of a team\nYou lean in to change and seek the opportunity\nYou see the big picture but get stuff done\nYou have a point of view\n', 'Doubleclick Campaign Manager (DCM)\nDoubleclick Search\nData visualisation tools such as Datorama\nGoogle Analytics\nAdobe Analytics\nFacebook Ads\nGoogle Ads\n']"
